Graphic,Enum,Specification,APP-06 code,identifier1,identifier2,countryCodes,additionalInfo,hostility,status,dtg1,dtg2,echelon,direction,mineType,mobility,terrain,altitude1,altitude2,width,length,radius,grids,weapon,rangeFan
"guard",Guard,"FM 1-02.2 + APP-06",342202,,,,,Y,,,,,,,,,,,,,,,,
"guerrilla base",GuerrillaBase,"FM 1-02.2 + APP-06",120600,Y,,,,Y,Y,,,,,,,,,,,,,,,
"handover line",HandoverLine,"APP-06",141800,Y,,,,Y,Y,,,,,,,,,,,,,,,
"high altitude missile engagement zone",HighAltitudeMissileEngagementZone,"FM 1-02.2 + APP-06",171800,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"high density airspace control zone",HighDensityAirspaceControlZone,"FM 1-02.2 + APP-06",170900,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"holding line",HoldingLine,"APP-06",141500,Y,,,,Y,Y,,,,,,,,,,,,,,,
"human terrain",HumanTerrain,"APP-06",370100,,,,Y,Y,,,,,,,,,,,,,,,,
"identification friend or foe off",IdentificationFriendOrFoeOff,"FM 1-02.2 + APP-06",190100,,,,,Y,,,,,,,,,,,,,,,,
"identification friend or foe on",IdentificationFriendOrFoeOn,"FM 1-02.2 + APP-06",190200,,,,,Y,,,,,,,,,,,,,,,,
"infiltration",Infiltration,"FM 1-02.2 + APP-06",343800,,,,,Y,,,,,,,,,,,,,,,,
"infiltration lane",InfiltrationLane,"FM 1-02.2 + APP-06",140800,Y,,,,Y,,,,,,,,,,,,,,,,
"intelligence coordination line",IntelligenceCoordinationLine,"FM 1-02.2 + APP-06",300100,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"interdict",Interdict,"FM 1-02.2 + APP-06",341400,,,,,,,,,,,,,,,,,,,,,
"isolate",Isolate,"FM 1-02.2 + APP-06",341500,,,,,,,,,,,,,,,,,,Y,,,
"joint engagement zone",JointEngagementZone,"FM 1-02.2 + APP-06",171500,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"joint tactical action area",JointTacticalActionArea,"APP-06",150501,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"kill zone",KillZone,"FM 1-02.2",,Y,,,,Y,Y,,,,,,,,,,,,,,,
"landing zone",LandingZone,"FM 1-02.2 + APP-06",150800,Y,,,,Y,Y,,,,,,,,,,,,,,,
"light line",LightLine,"APP-06",110200,Y,,,,Y,Y,,,,,,,,,,,,,,,
"limit of advance",LimitOfAdvance,"FM 1-02.2 + APP-06",140900,Y,,,,Y,Y,,,,,,,,,,,,,,,
"limited access area",LimitedAccessArea,"FM 1-02.2 + APP-06",151100,,,,Y,Y,,,,,,,Y,,,,,,,,,
"line of contact",LineOfContact,"FM 1-02.2 + APP-06",141100,,,,,,,,,,,,,,,,,,,,,
"line of departure",LineOfDeparture,"FM 1-02.2 + APP-06",141000,Y,,,,Y,Y,,,,,,,,,,,,,,,
"line of departure or line of contact",LineOfDepartureOrLineOfContact,"FM 1-02.2 + APP-06",141100,Y,,,,Y,Y,,,,,,,,,,,,,,,
"line, generic",LineGeneric,"APP-06",110400,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"linear smoke target",LinearSmokeTarget,"FM 1-02.2 + APP-06",240702,Y,,,,Y,,,,,,,,,,,,,,,,
"linear target",LinearTarget,"FM 1-02.2 + APP-06",240701,Y,,,,Y,,,,,,,,,,,,,,,,
"locate",Locate,"APP-06",343900,,,,,,,,,,,,,,,,,,,,,
"low altitude missile engagement zone",LowAltitudeMissileEngagementZone,"FM 1-02.2 + APP-06",171700,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"low level transit route",LowLevelTransitRoute,"FM 1-02.2 + APP-06",170200,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"main axis of advance",MainAxisOfAdvance,"FM 1-02.2 + APP-06",151403,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
